Sample,Time,Event,Cost
1,136.17788826706726,0,0.0
2,16.412515003342918,1,0.2318312847164056
2,107.4288631509273,0,0.0
3,0.06272819846364404,1,0.253390332405016
3,2.1018801096509208,1,0.15425995793013283
3,5.346216448896895,1,0.28817259447966254
3,14.433155211979514,1,0.47492147034229465
3,89.5850528172418,0,0.0
4,36.3059429954279,0,0.0
5,8.516605818920596,1,0.2638291804577785
5,27.68147317741068,1,0.17988839556639372
5,56.67282119224191,0,0.0
6,1.3617891824865136,1,0.6532847421492282
6,6.41386092939062,1,0.9369329885103244
6,8.342511151215046,1,0.034242620582065904
6,18.638142796528193,1,0.26598420710389087
6,31.423376647146593,0,0.0
7,51.62724740073083,0,0.0
8,11.336061626732942,1,0.27707554726526595
8,11.49105041516929,1,0.01001684127494573
8,13.176799994494518,1,0.16570602146012783
8,14.99597448219964,1,0.12821009318811533
8,29.897951391948883,1,0.09234713120539233
8,134.8367483928727,0,0.0
9,163.0210674297949,0,0.0
10,8.050688160962823,1,0.2473806281021137
10,14.915260533559795,1,0.20470981079642162
10,19.247735897436666,1,0.2630181047453741
10,22.432322349342122,1,0.10468212829645863
10,38.76743385658574,1,0.05815107780664175
10,43.91923631733532,1,0.8240808585524748
10,46.091799310478336,0,0.0
11,7.847936330247753,1,0.005050000490088448
11,8.028964540301427,1,0.7496151783172529
11,9.416416021877387,1,0.07526223255800418
11,9.622226984821994,1,0.10355306949172942
11,26.75510925826135,1,0.0888759857323518
11,32.52094498585733,1,0.335387890500141
11,45.11511612153063,1,0.1699281661748147
11,45.95746703408287,1,0.025612630396696506
11,113.83994977191075,0,0.0
12,13.681172298533188,1,0.27518163718047384
12,14.936140168868615,1,0.2091125822765865
12,18.525853518870502,1,0.010153280868370933
12,39.19746713360733,1,0.27216334209501536
12,41.81671620954522,1,0.16818807518240508
12,67.72906487385448,1,0.7046863313614369
12,72.12129369115007,0,0.0
13,12.759846868246028,1,0.1457412472041473
13,22.256906864571388,1,0.10559891588822261
13,126.97665944003076,0,0.0
14,74.84900464787252,1,0.8989059167058376
14,76.13620888501535,1,0.0850783097192872
14,95.54906142609411,1,0.2573674591896292
14,115.53777477498716,1,0.4511265742236814
14,116.60619013012752,0,0.0
15,2.553039675705904,1,0.03977268666832124
15,14.280479649515513,1,0.35665650451261127
15,46.18927677223812,1,0.14539813584803238
15,49.64292328777511,1,0.16782715012090316
15,50.69298936898716,1,0.3781106446004921
15,51.31930528370333,1,0.05665131060574327
15,52.51643627347323,1,0.25485414081840857
15,60.55397307983149,1,0.896685940305834
15,71.0004352797689,1,0.39962599623478556
15,169.01552636574698,0,0.0
16,8.39060934538764,1,1.168610336629509
16,13.899601449361704,1,0.08739814024248906
16,19.313103096856224,1,0.3261116599673166
16,23.905632702947347,1,0.20351867321679742
16,35.77392244238625,1,0.7672769866932667
16,105.07435082499758,0,0.0
17,2.592973388449009,1,0.20099394579233723
17,19.586900018673454,1,0.6079029692681962
17,27.987484131073938,1,0.5854640290350858
17,37.75394473627429,1,0.20228474933740248
17,38.61539785426073,1,0.034393151447488196
17,49.370986347326436,1,0.24209922962238575
17,52.98899957618754,1,0.386338946590514
17,53.198272155185606,1,0.15420700119520475
17,54.745865638755596,1,0.0676515632122243
17,70.0295249994778,1,0.24967689866460566
17,81.19344472357388,1,0.2013512584989828
17,85.47948985778318,1,0.001905813777279233
17,99.3582456163279,1,0.03558774929666684
17,105.63521419772454,1,0.026578615011332782
17,111.90131143254439,1,0.12361616126129289
17,122.77303076110755,0,0.0
18,11.94498454432421,1,0.21361327750230213
18,19.439554486527964,0,0.0
19,0.45874775086494957,0,0.0
20,0.13911667926472077,1,0.14921183586358852
20,16.04273653256738,1,0.07288944707280103
20,42.645857454851544,1,0.8597809012254563
20,69.01758584030222,1,0.19332103178051216
20,71.73248718416062,1,0.13122294837837656
20,143.00576421937816,0,0.0
21,0.5563354569799724,1,0.5635911199405874
21,6.867705424990205,0,0.0
22,9.388271205296986,1,0.07322826620279875
22,147.89960847777047,0,0.0
23,24.61652238375291,0,0.0
24,8.077423034632302,1,0.09334463372825487
24,17.130851454832257,1,0.01780464587604269
24,24.854725951157725,1,0.5958192940607077
24,25.207393840381407,1,0.0458090846434004
24,62.17471901801635,0,0.0
25,78.91497745224412,0,0.0
26,7.807930993682353,1,0.3646080445057565
26,115.14161832392487,0,0.0
27,15.246522729075329,1,0.4568145815958554
27,19.661215025086104,0,0.0
28,3.4676883613718243,1,0.18351260858524343
28,23.166003956432355,1,0.12212053307677419
28,30.886482003778937,1,0.8334338440480967
28,35.63193307571691,1,0.8587604505602947
28,36.24111740417844,1,0.26491770731826497
28,41.13340455704767,1,0.05181825270850567
28,46.101850825418374,1,0.11107366568018691
28,152.56102498239883,0,0.0
29,1.555470754988248,1,0.06436925965505633
29,12.279958545253814,1,0.4115256250630258
29,24.954401231793362,1,0.07968486503415478
29,31.690765207220156,1,0.1406397972066409
29,166.47470754506637,0,0.0
30,13.890230385917835,1,0.09892855142367331
30,15.090007196979075,1,0.0690191262411259
30,22.08580792759469,1,0.06353751957690233
30,37.97473747914791,1,0.30255344739535467
30,114.33489325098482,0,0.0
31,131.26461288503154,0,0.0
32,0.6319306877314776,1,0.6232280789066401
32,5.124096600034169,1,0.532867334015783
